# gen_best_score, gen_best, all_time_best_score, all_time_best, failed, seen, diversity, evaluated
0.9476, 11100101010000101101011001110110111010111101100001111110111001001101011010000100000110110001010000111010111101100110000111000010101110101010100101010101100000101000100111010101111010001000100010111001010010011000010011011100011111101100111011000000100110110110110000011001011000101101100000011101000100111101010000010101010101010001011000010001011000011001000100101000010101111001101000011010000010111011011100001011011010101001001000101011011011101010011010100100100110110001100011110100110110101111, 0.9476, 11100101010000101101011001110110111010111101100001111110111001001101011010000100000110110001010000111010111101100110000111000010101110101010100101010101100000101000100111010101111010001000100010111001010010011000010011011100011111101100111011000000100110110110110000011001011000101101100000011101000100111101010000010101010101010001011000010001011000011001000100101000010101111001101000011010000010111011011100001011011010101001001000101011011011101010011010100100100110110001100011110100110110101111, 0, 0, 1.0, 10
0.9468, 11100101010000101101011001110110111110110101100001111110101001001101011010000100000110110001010000111010111101100110000111000010101110101010100001000101100000101000100111010101111010001000100010111001011000011000010011111100010111101100111011000000101010110010010100110110001000000100001011000110100100011001001100000101001001110100100111010010101010011010110000110001100001011000000101000100010011000110001111110011111001000110100010111101111001110101000101001011011110100111001110001101011101010111, 0.9476, 11100101010000101101011001110110111010111101100001111110111001001101011010000100000110110001010000111010111101100110000111000010101110101010100101010101100000101000100111010101111010001000100010111001010010011000010011011100011111101100111011000000100110110110110000011001011000101101100000011101000100111101010000010101010101010001011000010001011000011001000100101000010101111001101000011010000010111011011100001011011010101001001000101011011011101010011010100100100110110001100011110100110110101111, 0, 0, 1.0, 10
0.9488, 11100101010000101101011001110110011110110101100011111110101001001101011010000100000110110001010000111010111101100110000111000010101110111010100001010101000000101000100111010101111010001000100010111001001001011000010011111100010111101100111011000000101010110010010100110110001010000100101011000111100101011001011100000001001001110100100111010010101010011010110000110001100011001000000101001100010011000010001111110011111001000110100010111101111001100101000101001011011110101111001100001101011101011111, 0.9488, 11100101010000101101011001110110011110110101100011111110101001001101011010000100000110110001010000111010111101100110000111000010101110111010100001010101000000101000100111010101111010001000100010111001001001011000010011111100010111101100111011000000101010110010010100110110001010000100101011000111100101011001011100000001001001110100100111010010101010011010110000110001100011001000000101001100010011000010001111110011111001000110100010111101111001100101000101001011011110101111001100001101011101011111, 0, 1, 1.0, 9
0.9504, 11100101010001101101011001110110011100010101100001111110111001001101011010100100000110110001010000111010111101100000010111000010101110101010100101000111100001111010101011011001111010111100000011111001011010111000010011111100010111101101111011000000101011110110010000010110000000000101001011001110100100011001000100010111001001110100100111010010100010011010110000100011100100010000000011000100010011000110001111110011111010001110000010111101111001110101000101001010010110100011001110001101011101010111, 0.9504, 11100101010001101101011001110110011100010101100001111110111001001101011010100100000110110001010000111010111101100000010111000010101110101010100101000111100001111010101011011001111010111100000011111001011010111000010011111100010111101101111011000000101011110110010000010110000000000101001011001110100100011001000100010111001001110100100111010010100010011010110000100011100100010000000011000100010011000110001111110011111010001110000010111101111001110101000101001010010110100011001110001101011101010111, 0, 1, 1.0, 9
0.954, 11100101011001001101011000110110011100100101000001111111101001001101011011000100000111110001010000111110111101100100010111000110101100100011100001000101100000111010100111011101101010001000000011111001011011111000010011111100010111101001111111000000001011110000010100110110001000000100001011000110100101011101000110000111101001010100100011010011111010011010110000110011100110011000001101010100010011000110001100110011110011000110000010111101111011110111000101001010011110100011001110000111111101010111, 0.954, 11100101011001001101011000110110011100100101000001111111101001001101011011000100000111110001010000111110111101100100010111000110101100100011100001000101100000111010100111011101101010001000000011111001011011111000010011111100010111101001111111000000001011110000010100110110001000000100001011000110100101011101000110000111101001010100100011010011111010011010110000110011100110011000001101010100010011000110001100110011110011000110000010111101111011110111000101001010011110100011001110000111111101010111, 0, 2, 0.9, 8
0.954, 11000101010011101101111001110110011100010101100000111111001001001101011010000001010110100100010000111010111101100101010111000010101110101010100101000101100010111011100110011101111010001000010011111001011010011000100011011101010111101100101010001001100111101010111011101010101100101001011111110011010010000111010010000110110100010101000010100000000101000110100101110001101011011111010000000000011100100111101110010111110100000001111001100011100101111001000011110000000100101000111000110010100101111000, 0.954, 11000101010011101101111001110110011100010101100000111111001001001101011010000001010110100100010000111010111101100101010111000010101110101010100101000101100010111011100110011101111010001000010011111001011010011000100011011101010111101100101010001001100111101010111011101010101100101001011111110011010010000111010010000110110100010101000010100000000101000110100101110001101011011111010000000000011100100111101110010111110100000001111001100011100101111001000011110000000100101000111000110010100101111000, 0, 2, 1.0, 8
0.954, 11100101011000100101011001110110011101110101010000111110101001001101011010000101100111100001011000011110111101110100010111000011101000101010100000000101100000111010100111011111101010101001000011111001011011011000010101011100010111001001111110000000100110101010111011101010101100111001011111010011010110000111010010100110110100010001000010100000010001000110100101110001101011011111010000000000011100100111101110010111110100000001111001100011100101111001000011110000000100100100111000110010100101111100, 0.954, 11100101011000100101011001110110011101110101010000111110101001001101011010000101100111100001011000011110111101110100010111000011101000101010100000000101100000111010100111011111101010101001000011111001011011011000010101011100010111001001111110000000100110101010111011101010101100111001011111010011010110000111010010100110110100010001000010100000010001000110100101110001101011011111010000000000011100100111101110010111110100000001111001100011100101111001000011110000000100100100111000110010100101111100, 0, 1, 1.0, 9
0.954, 11000101010011101101111001110110011100010101100000111111001001001101011010000001010110100100010000111010111101100101010111000010101110101010100101000101100010111011100110011101111010001000010011111001011010011000100011011101010111101100101010001001100111101010111011101010101100101001011111110011010010000111010010000110110100010101000010100000000101000110100101110001101011011111010000000000011100100111101110010111110100000001111001100011100101111001000011110000000100101000111000110010100101111000, 0.954, 11000101010011101101111001110110011100010101100000111111001001001101011010000001010110100100010000111010111101100101010111000010101110101010100101000101100010111011100110011101111010001000010011111001011010011000100011011101010111101100101010001001100111101010111011101010101100101001011111110011010010000111010010000110110100010101000010100000000101000110100101110001101011011111010000000000011100100111101110010111110100000001111001100011100101111001000011110000000100101000111000110010100101111000, 0, 1, 1.0, 9
0.9564, 11100101010000101101011000110110011100100101001000101110101001101101011010000100010110010001011010111110010001110000010111010010101000101010101000111101100000111010100111010101101010100100000010110001111111111110000001011100010111101011111111000000101111111110101000011010000001000001001011001110101101111101010100000110001011110110100011010010000010110100011000100011100100010111100011010100010111000111001111011011111110001110000010111001111101110100000101001111110011101011001010101101011101010111, 0.9564, 11100101010000101101011000110110011100100101001000101110101001101101011010000100010110010001011010111110010001110000010111010010101000101010101000111101100000111010100111010101101010100100000010110001111111111110000001011100010111101011111111000000101111111110101000011010000001000001001011001110101101111101010100000110001011110110100011010010000010110100011000100011100100010111100011010100010111000111001111011011111110001110000010111001111101110100000101001111110011101011001010101101011101010111, 0, 0, 1.0, 10
0.9564, 11000101010011100101101011110110010100010000100000111011001001001001011011001001010110100100010000111010001101100111011111000010100110101110100101000111100010111111110010011101111011011100010001111001011010011100101011011101000111001110001010110001101111011111101000011010000001000001001011001110101101111101010100000110001011110110100011010010000011110100011000100011100100010111100011010100010111000111101111011011101110001110000010111001111101110100000101001111110011101010001010101001011101010111, 0.9564, 11000101010011100101101011110110010100010000100000111011001001001001011011001001010110100100010000111010001101100111011111000010100110101110100101000111100010111111110010011101111011011100010001111001011010011100101011011101000111001110001010110001101111011111101000011010000001000001001011001110101101111101010100000110001011110110100011010010000011110100011000100011100100010111100011010100010111000111101111011011101110001110000010111001111101110100000101001111110011101010001010101001011101010111, 0, 0, 1.0, 10
