# gen_best_score, gen_best, all_time_best_score, all_time_best, failed, seen, diversity, evaluated
-1.0, 00000000010101101100110011001001111111101101001001000011011100010101100001111000110111000101101010001101110010101111111110100010111110011011010010100011110101111111101110101100011000011011101001101100110011100111100110011101000011101111110100001011001101100111100010000110001000011110100100110010100000111011011000010100000001011110101101110111011011011001011001010100011110111110110111110010110101111010101101100100010011101010000011101100001100000001101111101111011101110010110111101101010110100101, -1.0, 00000000010101101100110011001001111111101101001001000011011100010101100001111000110111000101101010001101110010101111111110100010111110011011010010100011110101111111101110101100011000011011101001101100110011100111100110011101000011101111110100001011001101100111100010000110001000011110100100110010100000111011011000010100000001011110101101110111011011011001011001010100011110111110110111110010110101111010101101100100010011101010000011101100001100000001101111101111011101110010110111101101010110100101, 0, None, None, None
-1.0, 10000000010101101100110011001001101111101001101001000011011100010101100001101000010111000101101010001101110010101111111110100011111110011011010010100011110101111111101110101100011000011011101001101100010001110101100110011101000011101111110100011011001101100111100010001110001000011110100100110110100000111011011000010100000001011110101100110111011011011001011001010100111110111110110111110010110101101010101101100100110011101010000011101100001100000001101101101111011101110010110111101101010110110101, -1.0, 10000000010101101100110011001001101111101001101001000011011100010101100001101000010111000101101010001101110010101111111110100011111110011011010010100011110101111111101110101100011000011011101001101100010001110101100110011101000011101111110100011011001101100111100010001110001000011110100100110110100000111011011000010100000001011110101100110111011011011001011001010100111110111110110111110010110101101010101101100100110011101010000011101100001100000001101101101111011101110010110111101101010110110101, 0, None, None, None
-1.0, 10000010010111101100110011001001101111100001101001010011011110010100110001101000010111000101101011001101111010101111111100000101111110011011010010100011110100111111101100101100011000011001001001101100010001110101100110011101000011101111110100011001001101100111100010001110001000011110000100110110100000111011011000010100000001011110101100110111111011011001011001010100111110111110110101110010110101101010101101000100110011111010000011101100001100000001101101101111011101010000110111101101010110110101, -1.0, 10000010010111101100110011001001101111100001101001010011011110010100110001101000010111000101101011001101111010101111111100000101111110011011010010100011110100111111101100101100011000011001001001101100010001110101100110011101000011101111110100011001001101100111100010001110001000011110000100110110100000111011011000010100000001011110101100110111111011011001011001010100111110111110110101110010110101101010101101000100110011111010000011101100001100000001101101101111011101010000110111101101010110110101, 0, None, None, None
-1.0, 10000010010111101100110011001001101011100001101001010001011110011100110001101000010111000101101011001101111010101111111000000001111110011011010010100011110100111101101100101101010000011001101001101100000001110101100110111101010001101111110100011011101101100111110010000110001000011110000100110110100000111111001000010100100001011110101100110111111011111001011001010100111000111110110101110010110101101010101101000100110010111010010011101100001100010001101101101101011101010000110111101101010100110101, -1.0, 10000010010111101100110011001001101011100001101001010001011110011100110001101000010111000101101011001101111010101111111000000001111110011011010010100011110100111101101100101101010000011001101001101100000001110101100110111101010001101111110100011011101101100111110010000110001000011110000100110110100000111111001000010100100001011110101100110111111011111001011001010100111000111110110101110010110101101010101101000100110010111010010011101100001100010001101101101101011101010000110111101101010100110101, 0, None, None, None
-1.0, 10100010010111101110110011001001101011100001101001010001011110011100110001100001010110000101101011001100111010101111111000100001101110011001010000100011110100111101101100101101010000001001101001101100000001010101100110111101010000101111110110011011101101100011111010000110001000011110000101110110100000011111001010010100100001011110101100110111111011111001011001010100111000111110110101110010110001101010100101000100110010111010010011001100001100011001101101101101011101010000110111101101010100110101, -1.0, 10100010010111101110110011001001101011100001101001010001011110011100110001100001010110000101101011001100111010101111111000100001101110011001010000100011110100111101101100101101010000001001101001101100000001010101100110111101010000101111110110011011101101100011111010000110001000011110000101110110100000011111001010010100100001011110101100110111111011111001011001010100111000111110110101110010110001101010100101000100110010111010010011001100001100011001101101101101011101010000110111101101010100110101, 0, None, None, None
-1.0, 10100010010111101100110011001001101011110001101001010001011111011100110011100001010110000101101011000101111010101111111000100001101110010001010000110011110100111101101000101101010000001001101001101100000001010101100110111101010000101111110110111011100001100001111010100110001000011110000101110100100000011111001010010100100001011100101100110110111011111001011001010100111000111110100101100010110001100010100101000100110010111010000011001100001100011001101001101101011101010000110110101001010110110101, -1.0, 10100010010111101100110011001001101011110001101001010001011111011100110011100001010110000101101011000101111010101111111000100001101110010001010000110011110100111101101000101101010000001001101001101100000001010101100110111101010000101111110110111011100001100001111010100110001000011110000101110100100000011111001010010100100001011100101100110110111011111001011001010100111000111110100101100010110001100010100101000100110010111010000011001100001100011001101001101101011101010000110110101001010110110101, 0, None, None, None
-1.0, 10111010010111101111110010011001101011110001101010010101011111011100111011100001010110000100100011000100111010101111111000100001101110010001010000110011110100111101101000101101010000001001101001101100000001010101100110011101011000101111110110111011100001100001111010100010001010011110000101110100100001011111001010010100100001011100101100110110111011111001010001010100111000111110010111100010110001100010100101000100110010111010000010001100001100011001101001101101001101010000110110111001010110110101, -1.0, 10111010010111101111110010011001101011110001101010010101011111011100111011100001010110000100100011000100111010101111111000100001101110010001010000110011110100111101101000101101010000001001101001101100000001010101100110011101011000101111110110111011100001100001111010100010001010011110000101110100100001011111001010010100100001011100101100110110111011111001010001010100111000111110010111100010110001100010100101000100110010111010000010001100001100011001101001101101001101010000110110111001010110110101, 0, None, None, None
-1.0, 10111010010111100111110010011001101011110001101110010101011111011100111011100001010110000100100011000100111010101111111000110001101010010001010000110011110100111101111000101001010000001001101001100100000001010101100110011101010000101111110110111011100000100001111010000010011010011110000101110100000001011111001010010100100001011100111100110110111011011011010001010100101100111110010111100010110001100010100101001100110010111010000010001100001100011000101001101101011101010000110110111001010010110101, -1.0, 10111010010111100111110010011001101011110001101110010101011111011100111011100001010110000100100011000100111010101111111000110001101010010001010000110011110100111101111000101001010000001001101001100100000001010101100110011101010000101111110110111011100000100001111010000010011010011110000101110100000001011111001010010100100001011100111100110110111011011011010001010100101100111110010111100010110001100010100101001100110010111010000010001100001100011000101001101101011101010000110110111001010010110101, 0, None, None, None
-1.0, 00111010010111100111110010011000100011110011101110010101011111011100111011101001010110000100100001000100111010101111111000110001101010010001010000110011010100111101111000101001010000001001101001100100000000010111100110011101010000101111110110111011101001100001111000000010011010011110000101110100100001011111001010010100100001011100110000110110111011011011010001010100101100111110010111100010110001100010000101001100100010111010000010001100001100111000101001101101011101010000111110011001010010110101, -1.0, 00111010010111100111110010011000100011110011101110010101011111011100111011101001010110000100100001000100111010101111111000110001101010010001010000110011010100111101111000101001010000001001101001100100000000010111100110011101010000101111110110111011101001100001111000000010011010011110000101110100100001011111001010010100100001011100110000110110111011011011010001010100101100111110010111100010110001100010000101001100100010111010000010001100001100111000101001101101011101010000111110011001010010110101, 0, None, None, None
-1.0, 00111010010111100111110000011000000011110011101110010100011111011110111011001001010110000100100011000110111010101111111000110001101010010001010000110011011100111101111000101001010000000001101001100100000000010111100110011101010000101111110110111011101001100001111010000010011010011110000101111100100001011111001010010100100001011100110000110100111010011011110001010100101100111110010111100010111001100010000101101000101010111010000010001100001100111000101001101101011101010000111110011001010010110101, -1.0, 00111010010111100111110000011000000011110011101110010100011111011110111011001001010110000100100011000110111010101111111000110001101010010001010000110011011100111101111000101001010000000001101001100100000000010111100110011101010000101111110110111011101001100001111010000010011010011110000101111100100001011111001010010100100001011100110000110100111010011011110001010100101100111110010111100010111001100010000101101000101010111010000010001100001100111000101001101101011101010000111110011001010010110101, 0, None, None, None
-1.0, 10111010010111000111110000011000000011110011101110010100011111111110111011001001010110000100100011000110111010101111111000110001111010010000010000110011011100110101111000101001110001000001101001100100000000010111101110011101010000101111110110111011101001100001111010000010011100111110000101111100100001111111000010010100100001011100110000111100111010011011110001010100101100111110110111100010111101100010001101101000101010111010000010001000001100111000101001101101011101010000111110011001010010110101, -1.0, 10111010010111000111110000011000000011110011101110010100011111111110111011001001010110000100100011000110111010101111111000110001111010010000010000110011011100110101111000101001110001000001101001100100000000010111101110011101010000101111110110111011101001100001111010000010011100111110000101111100100001111111000010010100100001011100110000111100111010011011110001010100101100111110110111100010111101100010001101101000101010111010000010001000001100111000101001101101011101010000111110011001010010110101, 0, None, None, None
-1.0, 10111010010111100110110000011000000011110011101110010100011111111110111011001001000110000100100011000110111010101011110000110011111010010010010000110011011100100101111000101001110001000001101001000100000000010111101110011101010000100111110110111011101001100101111010100010011100111110000101111100100001111111000010010100000001011100010001111100111010011011110101110100101100111110110111100010111101100010001101101001101010111010000010001000001100111000101001101101011100010000111110011001010011110101, -1.0, 10111010010111100110110000011000000011110011101110010100011111111110111011001001000110000100100011000110111010101011110000110011111010010010010000110011011100100101111000101001110001000001101001000100000000010111101110011101010000100111110110111011101001100101111010100010011100111110000101111100100001111111000010010100000001011100010001111100111010011011110101110100101100111110110111100010111101100010001101101001101010111010000010001000001100111000101001101101011100010000111110011001010011110101, 0, None, None, None
-1.0, 10111010010110100010110000011000000011111011111110010100011111111110111011001001000110000101100011000010111010101111110001110011111010011010010000111011011100100101111000101001110001000000101001000100000100010111101110011101010000100111110110111011001001100101011010000010011100111110000001111100100001111011000010010100000001011100010001011100111010011011110100110100101000111110110111100010111101100010001101101001101000101010000010001000011100111000101001101101011100010000111110011001010011110101, -1.0, 10111010010110100010110000011000000011111011111110010100011111111110111011001001000110000101100011000010111010101111110001110011111010011010010000111011011100100101111000101001110001000000101001000100000100010111101110011101010000100111110110111011001001100101011010000010011100111110000001111100100001111011000010010100000001011100010001011100111010011011110100110100101000111110110111100010111101100010001101101001101000101010000010001000011100111000101001101101011100010000111110011001010011110101, 0, None, None, None
